0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
35,41,46,52,54,80,88,134,143,152,161,170,170,170,170,170,170
30,34,61,62,79,88,99,108,122,136,152,161,170,170,170,170,170
32,34,37,37,65,109,118,127,152,161,170,170,170,170,170,170,170
35,37,57,62,64,73,80,80,97,111,152,161,170,170,170,170,170
30,47,54,58,92,101,118,161,170,170,170,170,170,170,170,170,170
32,34,43,57,66,71,73,84,104,127,136,161,170,170,170,170,170
35,37,40,43,80,82,98,104,113,122,152,161,170,170,170,170,170
35,38,86,88,90,127,127,152,161,170,170,170,170,170,170,170,170
32,34,36,54,84,84,89,95,104,134,143,152,161,170,170,170,170
30,30,34,36,53,104,106,115,161,170,170,170,170,170,170,170,170
32,39,43,53,80,80,83,84,104,127,152,161,170,170,170,170,170
30,35,40,42,59,61,68,74,110,122,152,161,170,170,170,170,170
32,34,36,36,78,80,143,152,161,170,170,170,170,170,170,170,170
32,34,40,46,54,60,74,92,93,113,113,145,170,170,170,170,170
35,35,41,45,51,71,80,97,111,113,145,161,170,170,170,170,170
30,32,39,89,95,95,105,161,170,170,170,170,170,170,170,170,170
37,38,40,54,65,70,87,96,97,161,170,170,170,170,170,170,170
30,39,41,43,48,76,85,94,94,100,114,130,144,161,170,170,170
30,32,46,54,56,56,104,143,152,161,170,170,170,170,170,170,170
30,39,42,51,53,62,88,97,100,102,170,170,170,170,170,170,170
32,41,47,48,50,63,65,95,109,118,127,129,138,161,170,170,170
30,32,39,43,45,63,93,102,107,113,152,161,170,170,170,170,170
32,34,36,62,71,71,74,74,107,152,161,170,170,170,170,170,170
32,34,60,77,79,88,90,94,113,127,152,161,170,170,170,170,170
32,41,49,75,92,96,122,136,152,161,170,170,170,170,170,170,170
32,35,39,79,81,81,127,152,161,170,170,170,170,170,170,170,170
30,32,37,40,42,87,95,127,136,145,170,170,170,170,170,170,170
30,35,37,40,90,97,129,161,170,170,170,170,170,170,170,170,170
30,37,37,54,56,70,76,118,127,136,145,170,170,170,170,170,170
30,34,49,73,76,82,152,161,170,170,170,170,170,170,170,170,170
32,41,46,51,65,67,127,129,161,170,170,170,170,170,170,170,170
32,34,34,45,57,64,78,92,93,96,170,170,170,170,170,170,170
32,37,53,54,54,125,131,170,170,170,170,170,170,170,170,170,170
32,34,54,59,83,91,93,107,143,152,161,170,170,170,170,170,170
37,42,50,65,77,92,102,152,161,170,170,170,170,170,170,170,170
30,35,37,38,45,46,60,110,119,127,136,145,161,170,170,170,170
32,37,47,60,91,96,105,161,170,170,170,170,170,170,170,170,170
35,37,39,54,94,103,108,109,113,153,161,170,170,170,170,170,170
32,34,39,39,69,78,109,118,120,143,152,161,170,170,170,170,170
32,37,43,57,84,95,109,143,152,161,170,170,170,170,170,170,170
30,37,41,94,99,105,122,124,131,161,170,170,170,170,170,170,170
30,37,42,46,77,79,82,98,143,152,161,170,170,170,170,170,170
32,34,43,52,55,86,88,127,129,138,170,170,170,170,170,170,170
30,30,32,32,34,51,65,104,113,122,136,161,170,170,170,170,170
32,34,34,57,66,72,110,118,127,136,145,170,170,170,170,170,170
35,41,43,43,52,60,70,84,92,127,152,161,170,170,170,170,170
30,36,38,48,73,79,85,87,107,143,152,161,170,170,170,170,170
32,37,39,56,65,102,104,113,122,122,152,161,170,170,170,170,170
30,32,37,39,78,80,143,152,161,170,170,170,170,170,170,170,170
30,32,34,39,43,73,82,91,130,144,161,170,170,170,170,170,170
30,32,49,51,51,74,75,92,101,152,161,170,170,170,170,170,170
