Move_1;Move_2;Move_3;Move_4;Move_5;Move_6;Move_7;Move_8;Move_9;Move_10;Score_1;Score_2;Score_3;Score_4;Score_5;Score_6;Score_7;Score_8;Score_9;Score_10
[];[];[];[];['REPAIR: 10 <-> 11', 'REPAIR: 2 <-> 3', 'REPAIR: 13 <-> 12', 'REPAIR: 8 <-> 4'];[];['REPAIR: 6 <-> 5', 'REPAIR: 9 <-> 10'];['REPAIR: 4 <-> 1'];[];['REPAIR: 11 <-> 7'];0;3;3;3;6;6;7;7;7;7
[];['REPAIR: 8 <-> 4'];[];['REPAIR: 2 <-> 1'];['REPAIR: 6 <-> 5', 'REPAIR: 13 <-> 12', 'REPAIR: 11 <-> 7', 'REPAIR: 5 <-> 9'];['REPAIR: 7 <-> 3', 'REPAIR: 4 <-> 5'];['REPAIR: 2 <-> 1'];['REPAIR: 9 <-> 10'];['REPAIR: 10 <-> 14'];['REPAIR: 10 <-> 11'];0;6;6;6;7;10;11;12;15;15
[];[];[];['REPAIR: 9 <-> 12'];['REPAIR: 2 <-> 3', 'REPAIR: 2 <-> 1', 'REPAIR: 7 <-> 6'];['REPAIR: 5 <-> 9', 'REPAIR: 4 <-> 1'];[];[];[];['REPAIR: 2 <-> 3'];3;3;3;3;4;4;4;4;4;4
[];[];['REPAIR: 6 <-> 5', 'REPAIR: 14 <-> 13'];['REPAIR: 7 <-> 3', 'REPAIR: 7 <-> 6'];['REPAIR: 9 <-> 12'];[];['REPAIR: 7 <-> 6'];['REPAIR: 8 <-> 4'];['REPAIR: 4 <-> 5'];['REPAIR: 6 <-> 5'];1;2;3;6;9;10;11;12;13;14
[];['REPAIR: 8 <-> 4', 'REPAIR: 14 <-> 13'];['REPAIR: 4 <-> 5'];['REPAIR: 7 <-> 6'];[];['REPAIR: 10 <-> 14'];['REPAIR: 5 <-> 9', 'REPAIR: 9 <-> 12'];['REPAIR: 4 <-> 5'];[];['REPAIR: 8 <-> 4', 'REPAIR: 9 <-> 12', 'REPAIR: 10 <-> 14'];1;4;7;10;11;11;12;13;13;14
[];[];[];['REPAIR: 6 <-> 5'];['REPAIR: 7 <-> 3', 'REPAIR: 2 <-> 1', 'REPAIR: 11 <-> 7'];[];['REPAIR: 13 <-> 12', 'REPAIR: 9 <-> 12'];['REPAIR: 4 <-> 5', 'REPAIR: 4 <-> 1'];['REPAIR: 11 <-> 7'];['REPAIR: 7 <-> 6', 'REPAIR: 9 <-> 10'];3;4;4;4;4;4;7;7;8;8
[];[];['REPAIR: 9 <-> 10'];['REPAIR: 6 <-> 5'];['REPAIR: 10 <-> 14', 'REPAIR: 10 <-> 11', 'REPAIR: 13 <-> 12', 'REPAIR: 7 <-> 3'];['REPAIR: 12 <-> 8', 'REPAIR: 2 <-> 3', 'REPAIR: 9 <-> 10'];['REPAIR: 10 <-> 11', 'REPAIR: 7 <-> 6'];['REPAIR: 7 <-> 6'];['REPAIR: 6 <-> 5'];['REPAIR: 2 <-> 3'];3;3;3;3;3;4;5;6;6;6
[];['REPAIR: 4 <-> 5'];[];[];['REPAIR: 12 <-> 8', 'REPAIR: 5 <-> 9', 'REPAIR: 13 <-> 12'];['REPAIR: 7 <-> 3'];['REPAIR: 12 <-> 8', 'REPAIR: 2 <-> 1'];['REPAIR: 4 <-> 1'];[];['REPAIR: 4 <-> 5'];3;4;5;6;6;7;7;13;14;15
[];[];[];['REPAIR: 9 <-> 12'];[];['REPAIR: 4 <-> 5', 'REPAIR: 9 <-> 12'];['REPAIR: 2 <-> 3', 'REPAIR: 13 <-> 12'];['REPAIR: 10 <-> 14', 'REPAIR: 14 <-> 13'];['REPAIR: 7 <-> 6', 'REPAIR: 10 <-> 14'];['REPAIR: 6 <-> 5', 'REPAIR: 9 <-> 10'];1;1;1;1;1;1;3;4;4;4
[];['REPAIR: 12 <-> 8'];[];['REPAIR: 9 <-> 10', 'REPAIR: 4 <-> 5'];['REPAIR: 9 <-> 12', 'REPAIR: 13 <-> 12'];['REPAIR: 4 <-> 5', 'REPAIR: 8 <-> 4'];['REPAIR: 5 <-> 9', 'REPAIR: 4 <-> 5', 'REPAIR: 7 <-> 6'];['REPAIR: 9 <-> 10', 'REPAIR: 2 <-> 1'];['REPAIR: 13 <-> 12'];[];1;1;1;1;2;3;4;5;6;6
